,name,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Ride It,['Regard'],0.88,0.751,7,-4.258,0.0874,0.177,6.43e-05,0.106,0.884,117.948
1,OMG Daddy,"['Roll Rida', 'Rahul Nambiar', 'Lady Kash', 'Rahul Sipligunj']",0.8300000000000001,0.61,1,-6.293,0.0555,0.252,1.27e-05,0.115,0.608,96.011
2,Samajavaragamana,['Sid Sriram'],0.5680000000000001,0.663,8,-6.179,0.0345,0.91,4.8200000000000006e-05,0.124,0.808,165.203
3,Buttabomma,['Armaan Malik'],0.666,0.644,11,-8.964,0.145,0.753,0.00026199999999999997,0.124,0.89,115.1
4,Ramuloo Ramulaa,"['Anurag Kulkarni', 'Mangli']",0.663,0.913,5,-4.681,0.152,0.41500000000000004,0.000496,0.158,0.805,187.552
5,7 rings,['Ariana Grande'],0.778,0.317,1,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048
6,Lone Wolf,['Zomboy'],0.502,0.981,1,-1.569,0.0613,0.00169,0.5,0.154,0.213,150.018
7,Dusk Till Dawn - Radio Edit,"['ZAYN', 'Sia']",0.258,0.437,11,-6.593,0.039,0.101,1.27e-06,0.106,0.09670000000000001,180.043
8,All Out of Love,['Air Supply'],0.502,0.513,0,-6.473,0.0251,0.077,0.0,0.494,0.318,108.371
9,All Around The World (La La La),"['R3HAB', 'A Touch Of Class']",0.733,0.859,9,-5.03,0.033,0.47900000000000004,0.0645,0.105,0.52,124.948
10,Ishq Wala Love,"['Vishal-Shekhar', 'Salim Merchant', 'Neeti Mohan', 'Shekhar Ravjiani']",0.711,0.295,0,-12.377,0.0334,0.533,4.8e-05,0.0782,0.6940000000000001,135.048
11,Mask Off - Remix,"['Future', 'Kendrick Lamar']",0.727,0.431,2,-12.007,0.395,0.0111,0.0166,0.506,0.223,150.005
12,Tokyo Drifting (with Denzel Curry),"['Glass Animals', 'Denzel Curry']",0.708,0.496,8,-8.175,0.049600000000000005,0.0816,0.00010899999999999999,0.10200000000000001,0.41200000000000003,128.914
13,Lover,['Taylor Swift'],0.359,0.543,7,-7.582,0.09190000000000001,0.492,1.58e-05,0.11800000000000001,0.453,68.534
14,Perfect,"['Ed Sheeran', '2CELLOS']",0.30000000000000004,0.245,7,-12.223,0.0429,0.962,0.902,0.115,0.496,96.813
15,Spotless,"['Martin Garrix', 'Jay Hardway']",0.517,0.8280000000000001,8,-5.648,0.0482,9.69e-05,0.841,0.41100000000000003,0.060500000000000005,128.077
16,Dimaak Kharaab,"['Keerthana Sharma', 'Saketh']",0.555,0.834,7,-6.084,0.315,0.0439,1.0500000000000001e-05,0.0448,0.709,82.484
17,Oops,['Martin Garrix'],0.618,0.535,1,-6.941,0.042100000000000005,0.0011500000000000002,0.0,0.377,0.154,128.022
18,Go Fuck Yourself,['Two Feet'],0.765,0.327,6,-8.029,0.277,0.5710000000000001,0.047900000000000005,0.0787,0.292,74.931
19,Secrets,"['Tiësto', 'KSHMR', 'VASSY']",0.648,0.812,11,-7.585,0.0414,0.000329,0.0369,0.0857,0.122,128.178
20,Red Lights,['Tiësto'],0.654,0.8300000000000001,10,-4.801,0.0366,0.000629,1.1299999999999998e-06,0.121,0.548,124.989
21,Summer Nights,"['Tiësto', 'John Legend']",0.671,0.796,5,-5.157,0.0329,0.228,8.130000000000001e-05,0.151,0.7030000000000001,124.018
22,Rhythmeen,['ZZ Top'],0.5690000000000001,0.837,0,-7.876,0.030500000000000003,0.0291,0.033,0.332,0.493,95.909
23,You Know You Like It,"['DJ Snake', 'AlunaGeorge']",0.40700000000000003,0.725,5,-5.346,0.188,0.014100000000000001,2.4599999999999997e-06,0.306,0.247,196.093
24,"Love Me Like You Do - From ""Fifty Shades Of Grey""",['Ellie Goulding'],0.262,0.606,8,-6.646,0.048400000000000006,0.247,0.0,0.125,0.275,189.857
25,Tim,['ARTY'],0.25,0.909,4,-5.407,0.0414,0.00909,0.848,0.136,0.322,128.025
26,Larger Than Life,['Backstreet Boys'],0.661,0.973,0,-2.9939999999999998,0.037,0.11,1.7400000000000003e-05,0.617,0.75,108.037
27,"Baby Won't You Tell Me (From ""Saaho"")","['Shweta Mohan', 'Siddharth Mahadevan', 'Shankar Mahadevan', 'Shankar-Ehsaan-Loy']",0.661,0.531,6,-7.574,0.0383,0.517,0.0,0.215,0.452,129.933
28,"Kadalalle (From ""Dear Comrade"")","['Sid Sriram', 'Aishwarya Ravichandran', 'Justin Prabhakaran']",0.5750000000000001,0.296,7,-9.379,0.0257,0.848,1.1899999999999998e-06,0.209,0.502,97.902
29,Cop Drama,['Clearside'],0.776,0.664,8,-8.562,0.0811,0.029300000000000003,0.708,0.114,0.595,76.494
30,Taste The Feeling (Avicii Vs. Conrad Sewell),"['Avicii', 'Conrad Sewell']",0.633,0.79,6,-4.529,0.0539,0.0335,0.0,0.0626,0.558,89.933
31,X's,"['CMC$', 'GRX', 'Icona Pop']",0.528,0.733,10,-5.877,0.0603,0.136,0.0,0.105,0.20500000000000002,87.795
32,"Immortals - From ""Big Hero 6”",['Fall Out Boy'],0.7020000000000001,0.871,2,-5.9,0.0441,0.000691,0.0007819999999999999,0.367,0.774,108.031
33,RAW,['San Holo'],0.658,0.864,1,-2.878,0.0589,0.051300000000000005,0.0766,0.0818,0.15,89.984
34,You Know I Got It (Reprise),['Rick Ross'],0.869,0.468,10,-4.93,0.1,0.0054800000000000005,0.00301,0.129,0.372,128.044
35,Freeze Me,['Death From Above 1979'],0.512,0.724,0,-5.912,0.0313,0.0008269999999999999,0.000144,0.23700000000000002,0.531,130.037
